Model,scenario,region,landType,riverBasin,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,series,run,model_run_date,script_run_date,comments
GCAM,REF,USA,Grassland,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-69.28056667,-67.6159,-66.51956667,-65.7459,-65.16143333,-64.69466667,-55.94893333,-48.1052,-41.03733333,-34.82845667,-29.44883333,-24.95471,-21.04197333,-17.69196,-14.82319667,-12.36433,-10.32394,-8.538566667,-7.002196667,-5.6782,-4.535776667,-3.397628667,-2.483026333,-1.691037333,-1.004714333,-0.409570333,-0.06897,0.308303233,0.635781667,0.920168333,1.167217333,1.319200667,1.480501,1.620707,1.742609,1.848616,1.807956333,1.834525,1.857603,1.877659667,1.895098333,2.146151333,2.254563667,2.34894,2.431091667,2.502606333,2.500938,2.529321667,2.554027667,2.575532667,2.594251,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,UnmanagedPasture,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-51.0609,-48.5551,-45.90923333,-43.41443333,-41.18473333,-39.2469,-19.50949,-9.735366667,-1.121226333,6.37769,12.86303333,15.62773667,19.47172333,22.77179667,25.60671667,28.04464667,28.62629,29.91655333,31.02634333,31.98242667,32.80724333,35.34446667,36.58464333,37.66106667,38.59606667,39.40823333,37.2295,36.8566,36.53125667,36.24756667,36.00021333,34.69213,34.13065333,33.64170333,33.21596667,32.84523,30.57435333,29.62710667,28.80247333,28.08454,27.45955667,29.84047,30.36704,30.82537333,31.22441667,31.57176,30.83699667,30.74558667,30.66598333,30.59672,30.53644,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,Corn,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-22.93287333,-19.32724933,-17.73418533,-16.34733467,-15.13999667,-14.08896133,-14.038101,-13.71954467,-13.44220533,-13.20078833,-12.99059667,-11.515229,-10.655238,-9.906548667,-9.254802333,-8.687422333,-7.796902667,-7.152647333,-6.591819667,-6.103566333,-5.6785234,-5.7150764,-5.607888367,-5.514569867,-5.433334133,-5.3626122,-5.005361167,-4.789882167,-4.6022977,-4.438992433,-4.296826967,-4.097711933,-3.951282133,-3.823810833,-3.7128399,-3.616235333,-3.321664133,-3.132772867,-2.9683346,-2.825185477,-2.700563213,-3.40461,-3.748019367,-4.046965633,-4.307217567,-4.533780533,-4.7659546,-4.956692767,-5.122735933,-5.267287667,-5.393124,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,Soybean,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-15.666112,-15.974948,-16.18996133,-16.37714467,-16.540106,-16.68196933,-16.00799933,-15.567354,-15.18374367,-14.84976533,-14.559006,-14.32967067,-14.12603133,-13.948704,-13.794363,-13.66002,-13.153382,-12.77901533,-12.45311833,-12.1694144,-11.92243177,-11.69580023,-11.50361373,-11.3363195,-11.190663,-11.0638891,-10.66591313,-10.3679609,-10.10858603,-9.882761533,-9.686197033,-9.322174693,-9.03772782,-8.790070373,-8.5745022,-8.386828633,-7.816309233,-7.388254133,-7.01559749,-6.691177057,-6.408772102,-6.356384833,-6.269466647,-6.193766333,-6.127844433,-6.0704941,-5.7682251,-5.5480447,-5.3563851,-5.189491633,-5.0442535,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,UnmanagedForest,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-12.82603667,-11.99872667,-11.23899333,-10.53939333,-9.893473333,-9.295586667,-8.740893333,-8.225213333,-7.74477,-7.29641,-6.877236667,-6.484793333,-6.11688,-5.771553333,-5.447016667,-5.141803333,-4.854483333,-4.58381,-4.328683333,-4.08804,-3.860963333,-3.646617333,-3.44421,-3.253022667,-3.072399,-2.901723,-2.740422667,-2.58797,-2.443866333,-2.307653333,-2.178898333,-2.057187,-1.942138,-1.833395667,-1.730611667,-1.633470667,-1.541668333,-1.454915,-1.372943,-1.295492,-1.222323667,-1.153207,-1.087918333,-1.026259667,-0.968025667,-0.913040333,-0.861120333,-0.812104333,-0.765831,-0.722153667,-0.680929333,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,ProtectedGrassland,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-6.243673333,-6.093633333,-5.994816667,-5.925076667,-5.872423333,-5.830366667,-5.121856667,-4.449133333,-3.841896667,-3.308165667,-2.845692667,-2.447973,-2.10716,-1.815465667,-1.565776667,-1.351852333,-1.168332,-1.010669,-0.875020667,-0.758149333,-0.657319667,-0.570232667,-0.494930333,-0.429755333,-0.373303333,-0.324372033,-0.2819311,-0.2451009,-0.213124633,-0.1853522,-0.161222233,-0.1402511,-0.122021167,-0.106170167,-0.092385333,-0.0803957,-0.069965867,-0.060892333,-0.052997267,-0.046127767,-0.040149633,-0.034947403,-0.030419767,-0.026479163,-0.0230494,-0.020064183,-0.017465763,-0.01520398,-0.013235237,-0.011521473,-0.01002969,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,ProtectedUnmanagedPasture,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-4.601666667,-4.375836667,-4.137393333,-3.91259,-3.71162,-3.536965667,-3.087483667,-2.666568667,-2.290577667,-1.962975667,-1.681298667,-1.440743333,-1.235897667,-1.061573333,-0.913121,-0.786518333,-0.678355333,-0.585775667,-0.506374,-0.438159333,-0.379452333,-0.328856,-0.285187833,-0.247455267,-0.214817167,-0.186560367,-0.162077667,-0.140850233,-0.1224344,-0.106449567,-0.0925694,-0.080511933,-0.0700348,-0.0609279,-0.053010467,-0.046125933,-0.040138267,-0.03493017,-0.030399343,-0.02645742,-0.02302751,-0.020042917,-0.017445633,-0.01518528,-0.01321804,-0.011505853,-0.01001561,-0.008718453,-0.007589413,-0.006606637,-0.005751167,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,Grassland,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-3.338404667,-3.374554333,-3.372119667,-3.354750667,-3.33377,-3.314168,-2.927565667,-2.593415,-2.283765,-2.003345667,-1.752149667,-1.569722,-1.388321,-1.226804333,-1.082664,-0.953689,-0.835453667,-0.730308333,-0.635521333,-0.549915667,-0.472472,-0.401954667,-0.3381719,-0.280269,-0.227662233,-0.1798357,-0.1472328,-0.112305233,-0.080515967,-0.051573867,-0.025216583,-0.00559163,0.014407103,0.03262831,0.049231967,0.064363567,0.0730037,0.083371933,0.092822033,0.101436133,0.109287933,0.122137033,0.131095067,0.139261833,0.146707,0.153494733,0.157205767,0.161788733,0.1659669,0.1697762,0.1732489,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,ProtectedUnmanagedForest,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-2.276321667,-2.043118,-1.866623,-1.708149667,-1.565523667,-1.436856667,-1.364766333,-1.265762667,-1.175625,-1.093378,-1.01816,-0.949215667,-0.885896,-0.827618,-0.773883,-0.72424,-0.678304,-0.635723,-0.596196333,-0.559449,-0.525242667,-0.493357333,-0.463606,-0.435812667,-0.409827,-0.385509667,-0.362730867,-0.3413806,-0.321355467,-0.302561967,-0.284913933,-0.268334,-0.2527503,-0.2380972,-0.224314567,-0.2113463,-0.199141067,-0.1876512,-0.176832333,-0.166643033,-0.1570459,-0.148004267,-0.139485867,-0.1314588,-0.123894833,-0.1167661,-0.1100473,-0.1037146,-0.097746,-0.0921195,-0.086816033,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,Shrubland,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-2.166274,-2.049494333,-1.947102667,-1.857280333,-1.778436,-1.709183667,-1.219819333,-0.906715333,-0.632767667,-0.392982333,-0.183017633,-0.042270433,0.098331567,0.221744233,0.330132367,0.425384667,0.486669333,0.549684667,0.605278667,0.654371667,0.697759333,0.784798667,0.841888667,0.892125667,0.936367667,0.975359,0.953120667,0.956640667,0.960094667,0.963464333,0.966742333,0.949692333,0.943180333,0.937794,0.933368333,0.929760333,0.883967333,0.861369667,0.841903333,0.825143,0.810729333,0.874533,0.899906333,0.922141,0.941633,0.958730667,0.953084,0.956505,0.959588667,0.962371667,0.964887,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
