Series,scenario,region,LandLeaf,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Units
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,Corn_MissouriR_IRR_hi,-1.04463,-0.952045,-0.871443,-0.801275,-0.74019,-0.687012,-0.6665,-0.648643,-0.633098,-0.619565,-0.607783,-0.582711,-0.560883,-0.541882,-0.52534,-0.510939,-0.478166,-0.449635,-0.424798,-0.403176,-0.384352,-0.375048,-0.366947,-0.359895,-0.353756,-0.348412,-0.322766,-0.30044,-0.281004,-0.264084,-0.249354,-0.234494,-0.221557,-0.210295,-0.200491,-0.191956,-0.178429,-0.166653,-0.156401,-0.147476,-0.139707,-0.178748,-0.212736,-0.242323,-0.268081,-0.290504,-0.301572,-0.311206,-0.319594,-0.326895,-0.333252,-0.290112,-0.252558,-0.219864,-0.191403,-0.166626,-0.145056,-0.126279,-0.109932,-0.0957014,-0.0833129,-0.0725281,-0.0631394,-0.054966,-0.0478507,-0.0416565,-0.0362641,-0.0315697,-0.027483,-0.0239254,-0.0208282,-0.018132,-0.0157848,-0.0137415,-0.0119627,-0.0104141,-0.00906601,-0.00789242,-0.00687075,-0.00598134,-0.00520706,-0.00453301,-0.00394621,-0.00343538,-0.00299067,-0.00260353,-0.0022665,-0.00197311,-0.00171769,-0.00149533,-0.00130176,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,Corn_MissouriR_IRR_lo,-1.04463,-0.952045,-0.871443,-0.801275,-0.74019,-0.687012,-0.642213,-0.603213,-0.569262,-0.539705,-0.513975,-0.459668,-0.412392,-0.371235,-0.335406,-0.304215,-0.267582,-0.23569,-0.207927,-0.183758,-0.162717,-0.142784,-0.125431,-0.110324,-0.0971726,-0.0857237,-0.0827656,-0.0801904,-0.0779485,-0.0759968,-0.0742978,-0.0625264,-0.0522787,-0.0433577,-0.0355914,-0.0288305,-0.0207497,-0.013715,-0.00759087,-0.00225954,0.00238165,-0.00871182,-0.0183693,-0.0267765,-0.0340955,-0.040467,-0.0565114,-0.0704789,-0.0826382,-0.0932236,-0.102439,-0.089178,-0.077634,-0.0675843,-0.0588356,-0.0512193,-0.044589,-0.038817,-0.0337922,-0.0294178,-0.0256097,-0.0222945,-0.0194085,-0.0168961,-0.0147089,-0.0128048,-0.0111473,-0.00970425,-0.00844804,-0.00735445,-0.00640242,-0.00557363,-0.00485212,-0.00422402,-0.00367722,-0.00320121,-0.00278681,-0.00242606,-0.00211201,-0.00183861,-0.0016006,-0.00139341,-0.00121303,-0.001056,-9.19E-04,-8.00E-04,-6.97E-04,-6.07E-04,-5.28E-04,-4.60E-04,-4.00E-04,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,Corn_MissouriR_RFD_hi,-2.06718,-1.88396,-1.72446,-1.58561,-1.46473,-1.3595,-1.38953,-1.41568,-1.43844,-1.45825,-1.4755,-1.46418,-1.45432,-1.44574,-1.43827,-1.43176,-1.37604,-1.32753,-1.28529,-1.24853,-1.21652,-1.1782,-1.14483,-1.11578,-1.0905,-1.06849,-1.01403,-0.966622,-0.925351,-0.889423,-0.858146,-0.805414,-0.759508,-0.719545,-0.684755,-0.654468,-0.623463,-0.596472,-0.572974,-0.552518,-0.534711,-0.590501,-0.63907,-0.681351,-0.71816,-0.750203,-0.760429,-0.769331,-0.77708,-0.783827,-0.7897,-0.687474,-0.59848,-0.521008,-0.453563,-0.39485,-0.343737,-0.29924,-0.260504,-0.226782,-0.197425,-0.171868,-0.14962,-0.130252,-0.113391,-0.0987125,-0.0859342,-0.0748101,-0.0651259,-0.0566954,-0.0493562,-0.0429671,-0.037405,-0.032563,-0.0283477,-0.0246781,-0.0214835,-0.0187025,-0.0162815,-0.0141739,-0.0123391,-0.0107418,-0.00935126,-0.00814074,-0.00708693,-0.00616953,-0.00537089,-0.00467563,-0.00407037,-0.00354346,-0.00308476,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,Corn_MissouriR_RFD_lo,-2.06718,-1.88396,-1.72446,-1.58561,-1.46473,-1.3595,-1.28515,-1.22043,-1.16408,-1.11503,-1.07233,-0.970063,-0.881035,-0.803532,-0.736062,-0.677326,-0.625584,-0.58054,-0.541328,-0.507191,-0.477473,-0.421709,-0.373164,-0.330903,-0.294112,-0.262084,-0.227564,-0.197513,-0.171352,-0.148578,-0.128751,-0.131698,-0.134264,-0.136498,-0.138442,-0.140135,-0.115658,-0.0943501,-0.0758003,-0.0596517,-0.0455936,-0.0587695,-0.0702399,-0.0802254,-0.0889183,-0.0964859,-0.125588,-0.150922,-0.172977,-0.192177,-0.208891,-0.181851,-0.15831,-0.137817,-0.119977,-0.104446,-0.0909253,-0.079155,-0.0689085,-0.0599883,-0.0522229,-0.0454626,-0.0395775,-0.0344542,-0.0299942,-0.0261114,-0.0227313,-0.0197888,-0.0172271,-0.0149971,-0.0130557,-0.0113657,-0.00989438,-0.00861356,-0.00749854,-0.00652786,-0.00568283,-0.00494719,-0.00430678,-0.00374927,-0.00326393,-0.00284141,-0.0024736,-0.00215339,-0.00187463,-0.00163196,-0.00142071,-0.0012368,-0.00107669,-9.37E-04,-8.16E-04,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FiberCrop_MissouriR_IRR_hi,2.31E-07,2.17E-07,2.05E-07,1.95E-07,1.86E-07,1.78E-07,1.50E-07,1.25E-07,1.03E-07,8.41E-08,6.76E-08,5.01E-08,3.48E-08,2.15E-08,9.91E-09,-1.76E-10,-8.47E-09,-1.57E-08,-2.20E-08,-2.74E-08,-3.22E-08,-3.54E-08,-3.82E-08,-4.06E-08,-4.27E-08,-4.46E-08,-4.29E-08,-4.15E-08,-4.03E-08,-3.92E-08,-3.82E-08,-3.60E-08,-3.41E-08,-3.24E-08,-3.09E-08,-2.96E-08,-2.82E-08,-2.69E-08,-2.57E-08,-2.48E-08,-2.39E-08,-2.97E-08,-3.48E-08,-3.93E-08,-4.31E-08,-4.65E-08,-4.98E-08,-5.27E-08,-5.52E-08,-5.74E-08,-5.93E-08,-5.16E-08,-4.49E-08,-3.91E-08,-3.41E-08,-2.96E-08,-2.58E-08,-2.25E-08,-1.96E-08,-1.70E-08,-1.48E-08,-1.29E-08,-1.12E-08,-9.78E-09,-8.51E-09,-7.41E-09,-6.45E-09,-5.62E-09,-4.89E-09,-4.26E-09,-3.71E-09,-3.23E-09,-2.81E-09,-2.44E-09,-2.13E-09,-1.85E-09,-1.61E-09,-1.40E-09,-1.22E-09,-1.06E-09,-9.26E-10,-8.07E-10,-7.02E-10,-6.11E-10,-5.32E-10,-4.63E-10,-4.03E-10,-3.51E-10,-3.06E-10,-2.66E-10,-2.32E-10,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FiberCrop_MissouriR_IRR_lo,2.31E-07,2.17E-07,2.05E-07,1.95E-07,1.86E-07,1.78E-07,1.52E-07,1.29E-07,1.10E-07,9.23E-08,7.72E-08,6.51E-08,5.46E-08,4.54E-08,3.74E-08,3.04E-08,2.48E-08,1.98E-08,1.55E-08,1.18E-08,8.54E-09,7.11E-09,5.86E-09,4.78E-09,3.84E-09,3.01E-09,2.29E-09,1.66E-09,1.11E-09,6.36E-10,2.21E-10,-4.29E-11,-2.72E-10,-4.72E-10,-6.46E-10,-7.97E-10,-1.93E-10,3.32E-10,7.90E-10,1.19E-09,1.53E-09,-3.81E-10,-2.05E-09,-3.50E-09,-4.77E-09,-5.87E-09,-6.83E-09,-7.68E-09,-8.41E-09,-9.05E-09,-9.61E-09,-8.36E-09,-7.28E-09,-6.34E-09,-5.52E-09,-4.80E-09,-4.18E-09,-3.64E-09,-3.17E-09,-2.76E-09,-2.40E-09,-2.09E-09,-1.82E-09,-1.58E-09,-1.38E-09,-1.20E-09,-1.05E-09,-9.10E-10,-7.92E-10,-6.90E-10,-6.01E-10,-5.23E-10,-4.55E-10,-3.96E-10,-3.45E-10,-3.00E-10,-2.61E-10,-2.28E-10,-1.98E-10,-1.72E-10,-1.50E-10,-1.31E-10,-1.14E-10,-9.90E-11,-8.62E-11,-7.51E-11,-6.53E-11,-5.69E-11,-4.95E-11,-4.31E-11,-3.75E-11,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FiberCrop_MissouriR_RFD_hi,6.07E-05,5.61E-05,5.21E-05,4.86E-05,4.56E-05,4.29E-05,3.62E-05,3.03E-05,2.51E-05,2.07E-05,1.68E-05,1.27E-05,9.25E-06,6.20E-06,3.54E-06,1.23E-06,-6.71E-07,-2.33E-06,-3.77E-06,-5.03E-06,-6.12E-06,-6.88E-06,-7.55E-06,-8.12E-06,-8.63E-06,-9.06E-06,-8.77E-06,-8.51E-06,-8.28E-06,-8.08E-06,-7.91E-06,-7.47E-06,-7.08E-06,-6.74E-06,-6.45E-06,-6.19E-06,-5.87E-06,-5.59E-06,-5.35E-06,-5.13E-06,-4.95E-06,-6.17E-06,-7.23E-06,-8.16E-06,-8.96E-06,-9.66E-06,-1.04E-05,-1.10E-05,-1.15E-05,-1.20E-05,-1.24E-05,-1.08E-05,-9.39E-06,-8.18E-06,-7.12E-06,-6.20E-06,-5.39E-06,-4.70E-06,-4.09E-06,-3.56E-06,-3.10E-06,-2.70E-06,-2.35E-06,-2.04E-06,-1.78E-06,-1.55E-06,-1.35E-06,-1.17E-06,-1.02E-06,-8.90E-07,-7.75E-07,-6.74E-07,-5.87E-07,-5.11E-07,-4.45E-07,-3.87E-07,-3.37E-07,-2.93E-07,-2.56E-07,-2.22E-07,-1.94E-07,-1.69E-07,-1.47E-07,-1.28E-07,-1.11E-07,-9.68E-08,-8.43E-08,-7.34E-08,-6.39E-08,-5.56E-08,-4.84E-08,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FiberCrop_MissouriR_RFD_lo,6.07E-05,5.61E-05,5.21E-05,4.86E-05,4.56E-05,4.29E-05,3.66E-05,3.11E-05,2.63E-05,2.21E-05,1.85E-05,1.55E-05,1.29E-05,1.06E-05,8.65E-06,6.94E-06,5.53E-06,4.31E-06,3.25E-06,2.32E-06,1.51E-06,1.13E-06,8.01E-07,5.13E-07,2.62E-07,4.36E-08,-1.17E-07,-2.57E-07,-3.79E-07,-4.86E-07,-5.78E-07,-6.22E-07,-6.60E-07,-6.93E-07,-7.22E-07,-7.47E-07,-5.84E-07,-4.41E-07,-3.17E-07,-2.09E-07,-1.15E-07,-6.13E-07,-1.05E-06,-1.42E-06,-1.75E-06,-2.04E-06,-2.29E-06,-2.51E-06,-2.71E-06,-2.87E-06,-3.02E-06,-2.63E-06,-2.29E-06,-1.99E-06,-1.73E-06,-1.51E-06,-1.31E-06,-1.14E-06,-9.96E-07,-8.67E-07,-7.55E-07,-6.57E-07,-5.72E-07,-4.98E-07,-4.34E-07,-3.77E-07,-3.29E-07,-2.86E-07,-2.49E-07,-2.17E-07,-1.89E-07,-1.64E-07,-1.43E-07,-1.25E-07,-1.08E-07,-9.44E-08,-8.22E-08,-7.15E-08,-6.23E-08,-5.42E-08,-4.72E-08,-4.11E-08,-3.58E-08,-3.11E-08,-2.71E-08,-2.36E-08,-2.05E-08,-1.79E-08,-1.56E-08,-1.36E-08,-1.18E-08,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FodderGrass_MissouriR_IRR_hi,0.0720383,0.0705983,0.0693447,0.0682534,0.0673033,0.0664762,0.0413756,0.0195243,5.02E-04,-0.0160586,-0.0304751,-0.0437752,-0.0553536,-0.0654332,-0.074208,-0.0818468,-0.0890962,-0.0954071,-0.100901,-0.105684,-0.109848,-0.113079,-0.115893,-0.118342,-0.120474,-0.12233,-0.123372,-0.124278,-0.125068,-0.125755,-0.126353,-0.125184,-0.124166,-0.12328,-0.122508,-0.121836,-0.120672,-0.119659,-0.118777,-0.118009,-0.11734,-0.118102,-0.118764,-0.119341,-0.119844,-0.120281,-0.120098,-0.119939,-0.1198,-0.11968,-0.119575,-0.104096,-0.0906208,-0.07889,-0.0686777,-0.0597874,-0.052048,-0.0453104,-0.039445,-0.0343389,-0.0298937,-0.026024,-0.0226552,-0.0197225,-0.0171694,-0.0149469,-0.013012,-0.0113276,-0.00986125,-0.00858472,-0.00747343,-0.006506,-0.0056638,-0.00493063,-0.00429236,-0.00373672,-0.003253,-0.0028319,-0.00246531,-0.00214618,-0.00186836,-0.0016265,-0.00141595,-0.00123266,-0.00107309,-9.34E-04,-8.13E-04,-7.08E-04,-6.16E-04,-5.37E-04,-4.67E-04,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FodderGrass_MissouriR_IRR_lo,0.0720383,0.0705983,0.0693447,0.0682534,0.0673033,0.0664762,0.0494271,0.034585,0.0216641,0.0104159,6.24E-04,-0.00633366,-0.0123905,-0.0176632,-0.0222534,-0.0262494,-0.029419,-0.0321783,-0.0345803,-0.0366715,-0.0384919,-0.039078,-0.0395881,-0.0400322,-0.0404189,-0.0407555,-0.0408349,-0.0409041,-0.0409643,-0.0410167,-0.0410624,-0.0403424,-0.0397157,-0.0391701,-0.0386951,-0.0382816,-0.037577,-0.0369636,-0.0364297,-0.0359648,-0.0355601,-0.0347187,-0.0339861,-0.0333484,-0.0327932,-0.0323099,-0.0314462,-0.0306943,-0.0300398,-0.0294699,-0.0289739,-0.0252232,-0.0219581,-0.0191156,-0.0166411,-0.0144869,-0.0126116,-0.010979,-0.00955782,-0.00832056,-0.00724347,-0.00630581,-0.00548952,-0.00477891,-0.00416028,-0.00362173,-0.0031529,-0.00274476,-0.00238945,-0.00208014,-0.00181087,-0.00157645,-0.00137238,-0.00119473,-0.00104007,-9.05E-04,-7.88E-04,-6.86E-04,-5.97E-04,-5.20E-04,-4.53E-04,-3.94E-04,-3.43E-04,-2.99E-04,-2.60E-04,-2.26E-04,-1.97E-04,-1.72E-04,-1.49E-04,-1.30E-04,-1.13E-04,MtC/yr
