scenario,region,LandLeaf,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Units
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Corn_MissouriR_IRR_hi,-0.125968,-0.028129,-0.028129,-0.028129,-0.028129,-0.028129,-0.0451369,-0.0451369,-0.0451369,-0.0451369,-0.0451369,-0.0353624,-0.0353624,-0.0353624,-0.0353624,-0.0353624,-0.0220124,-0.0220124,-0.0220124,-0.0220124,-0.0220124,-0.0266841,-0.0266841,-0.0266841,-0.0266841,-0.0266841,-0.0128349,-0.0128349,-0.0128349,-0.0128349,-0.0128349,-0.0114908,-0.0114908,-0.0114908,-0.0114908,-0.0114908,-0.00746859,-0.00746859,-0.00746859,-0.00746859,-0.00746859,-0.0376858,-0.0376858,-0.0376858,-0.0376858,-0.0376858,-0.0321091,-0.0321091,-0.0321091,-0.0321091,-0.0321091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Corn_MissouriR_IRR_lo,-0.125968,-0.028129,-0.028129,-0.028129,-0.028129,-0.028129,-0.0291149,-0.0291149,-0.0291149,-0.0291149,-0.0291149,-0.00806625,-0.00806625,-0.00806625,-0.00806625,-0.00806625,-0.00181206,-0.00181206,-0.00181206,-0.00181206,-0.00181206,-7.46E-04,-7.46E-04,-7.46E-04,-7.46E-04,-7.46E-04,-0.00536906,-0.00536906,-0.00536906,-0.00536906,-0.00536906,0.00142074,0.00142074,0.00142074,0.00142074,0.00142074,0.0028688,0.0028688,0.0028688,0.0028688,0.0028688,-0.0071149,-0.0071149,-0.0071149,-0.0071149,-0.0071149,-0.0140401,-0.0140401,-0.0140401,-0.0140401,-0.0140401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Corn_MissouriR_RFD_hi,-0.185796,-0.0414889,-0.0414889,-0.0414889,-0.0414889,-0.0414889,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.088349,-0.088349,-0.088349,-0.088349,-0.088349,-0.0637324,-0.0637324,-0.0637324,-0.0637324,-0.0637324,-0.0585872,-0.0585872,-0.0585872,-0.0585872,-0.0585872,-0.0412334,-0.0412334,-0.0412334,-0.0412334,-0.0412334,-0.0286931,-0.0286931,-0.0286931,-0.0286931,-0.0286931,-0.0264121,-0.0264121,-0.0264121,-0.0264121,-0.0264121,-0.0614672,-0.0614672,-0.0614672,-0.0614672,-0.0614672,-0.052779,-0.052779,-0.052779,-0.052779,-0.052779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Corn_MissouriR_RFD_lo,-0.185796,-0.0414889,-0.0414889,-0.0414889,-0.0414889,-0.0414889,-0.0499758,-0.0499758,-0.0499758,-0.0499758,-0.0499758,-0.0179701,-0.0179701,-0.0179701,-0.0179701,-0.0179701,-0.0176707,-0.0176707,-0.0176707,-0.0176707,-0.0176707,-0.00297219,-0.00297219,-0.00297219,-0.00297219,-0.00297219,2.92E-04,2.92E-04,2.92E-04,2.92E-04,2.92E-04,-0.00964428,-0.00964428,-0.00964428,-0.00964428,-0.00964428,0.00311556,0.00311556,0.00311556,0.00311556,0.00311556,-0.00938074,-0.00938074,-0.00938074,-0.00938074,-0.00938074,-0.0204508,-0.0204508,-0.0204508,-0.0204508,-0.0204508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FiberCrop_MissouriR_IRR_hi,1.67E-08,4.18E-09,4.18E-09,4.18E-09,4.18E-09,4.18E-09,-1.43E-09,-1.43E-09,-1.43E-09,-1.43E-09,-1.43E-09,-2.26E-09,-2.26E-09,-2.26E-09,-2.26E-09,-2.26E-09,-2.13E-09,-2.13E-09,-2.13E-09,-2.13E-09,-2.13E-09,-1.89E-09,-1.89E-09,-1.89E-09,-1.89E-09,-1.89E-09,-1.06E-09,-1.06E-09,-1.06E-09,-1.06E-09,-1.06E-09,-6.98E-10,-6.98E-10,-6.98E-10,-6.98E-10,-6.98E-10,-6.03E-10,-6.03E-10,-6.03E-10,-6.03E-10,-6.03E-10,-2.29E-09,-2.29E-09,-2.29E-09,-2.29E-09,-2.29E-09,-2.39E-09,-2.39E-09,-2.39E-09,-2.39E-09,-2.39E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FiberCrop_MissouriR_IRR_lo,1.67E-08,4.18E-09,4.18E-09,4.18E-09,4.18E-09,4.18E-09,-7.91E-10,-7.91E-10,-7.91E-10,-7.91E-10,-7.91E-10,-5.42E-10,-5.42E-10,-5.42E-10,-5.42E-10,-5.42E-10,-4.43E-10,-4.43E-10,-4.43E-10,-4.43E-10,-4.43E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28E-10,1.28E-10,1.28E-10,1.28E-10,1.28E-10,-4.38E-10,-4.38E-10,-4.38E-10,-4.38E-10,-4.38E-10,-4.41E-10,-4.41E-10,-4.41E-10,-4.41E-10,-4.41E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FiberCrop_MissouriR_RFD_hi,2.46E-06,4.64E-07,4.64E-07,4.64E-07,4.64E-07,4.64E-07,-1.73E-07,-1.73E-07,-1.73E-07,-1.73E-07,-1.73E-07,-2.63E-07,-2.63E-07,-2.63E-07,-2.63E-07,-2.63E-07,-2.48E-07,-2.48E-07,-2.48E-07,-2.48E-07,-2.48E-07,-2.21E-07,-2.21E-07,-2.21E-07,-2.21E-07,-2.21E-07,-1.24E-07,-1.24E-07,-1.24E-07,-1.24E-07,-1.24E-07,-8.24E-08,-8.24E-08,-8.24E-08,-8.24E-08,-8.24E-08,-6.82E-08,-6.82E-08,-6.82E-08,-6.82E-08,-6.82E-08,-2.65E-07,-2.65E-07,-2.65E-07,-2.65E-07,-2.65E-07,-2.78E-07,-2.78E-07,-2.78E-07,-2.78E-07,-2.78E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FiberCrop_MissouriR_RFD_lo,2.46E-06,4.64E-07,4.64E-07,4.64E-07,4.64E-07,4.64E-07,-1.10E-07,-1.10E-07,-1.10E-07,-1.10E-07,-1.10E-07,-8.48E-08,-8.48E-08,-8.48E-08,-8.48E-08,-8.48E-08,-7.20E-08,-7.20E-08,-7.20E-08,-7.20E-08,-7.20E-08,-2.62E-08,-2.62E-08,-2.62E-08,-2.62E-08,-2.62E-08,-2.21E-08,-2.21E-08,-2.21E-08,-2.21E-08,-2.21E-08,-1.69E-08,-1.69E-08,-1.69E-08,-1.69E-08,-1.69E-08,9.53E-09,9.53E-09,9.53E-09,9.53E-09,9.53E-09,-7.29E-08,-7.29E-08,-7.29E-08,-7.29E-08,-7.29E-08,-7.37E-08,-7.37E-08,-7.37E-08,-7.37E-08,-7.37E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderGrass_MissouriR_IRR_hi,0.00791831,0.00335511,0.00335511,0.00335511,0.00335511,0.00335511,-0.00701857,-0.00701857,-0.00701857,-0.00701857,-0.00701857,-0.00733759,-0.00733759,-0.00733759,-0.00733759,-0.00733759,-0.00759259,-0.00759259,-0.00759259,-0.00759259,-0.00759259,-0.00742541,-0.00742541,-0.00742541,-0.00742541,-0.00742541,-0.00718103,-0.00718103,-0.00718103,-0.00718103,-0.00718103,-0.0064619,-0.0064619,-0.0064619,-0.0064619,-0.0064619,-0.00621538,-0.00621538,-0.00621538,-0.00621538,-0.00621538,-0.00678696,-0.00678696,-0.00678696,-0.00678696,-0.00678696,-0.00654723,-0.00654723,-0.00654723,-0.00654723,-0.00654723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderGrass_MissouriR_IRR_lo,0.00791831,0.00335511,0.00335511,0.00335511,0.00335511,0.00335511,-0.00359275,-0.00359275,-0.00359275,-0.00359275,-0.00359275,-0.00292596,-0.00292596,-0.00292596,-0.00292596,-0.00292596,-0.00279442,-0.00279442,-0.00279442,-0.00279442,-0.00279442,-0.00236946,-0.00236946,-0.00236946,-0.00236946,-0.00236946,-0.00227859,-0.00227859,-0.00227859,-0.00227859,-0.00227859,-0.00195536,-0.00195536,-0.00195536,-0.00195536,-0.00195536,-0.00180873,-0.00180873,-0.00180873,-0.00180873,-0.00180873,-0.00160059,-0.00160059,-0.00160059,-0.00160059,-0.00160059,-0.00141212,-0.00141212,-0.00141212,-0.00141212,-0.00141212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
